iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
5,102.0,102.0,7Am,Medial_Area_7A,Superior_Parietal,idx_L,102,0.2417585849761963,0.4044836157274847,0.4596312348927304,0,,-0.0015167946694418,0.4993948867076994,0.4993948867076994,0,,0.24327537964563808,0.24327537964563808,1,-1,True,neither
5,127.0,127.0,DVT,Dorsal_Transitional_Visual_Area,Posterior_Cingulate,idx_L,127,0.0526246838271617,0.4790154746835415,0.4899021900172584,0,,-0.1154308319091796,0.4540518209805846,0.4756980119843832,0,,0.1680555157363413,0.1680555157363413,1,-1,True,neither
5,136.0,136.0,25,Area_25,AntCing_MedPFC,idx_L,136,0.1451616138219833,0.4422916362951257,0.4724777123627455,0,,-0.0496769659221172,0.4801899061612228,0.4846349491009918,0,,0.19483857974410052,0.19483857974410052,1,-1,True,neither
5,216.0,216.0,5 m,Area_5m,ParaCentral_MidCing,idx_R,216,0.0094892093911767,0.4962144099786646,0.4985922070052563,0,,-0.0954569354653358,0.4619759472636665,0.4806686156500576,0,,0.1049461448565125,0.1049461448565125,1,-1,True,neither
5,270.0,270.0,TE1m,Area_TE1_Middle,Lateral_Temporal,idx_R,270,-0.116234041750431,0.4537335290873621,0.4776142411445916,0,,0.1616788357496261,0.4357793859342282,0.4739594529798253,0,,-0.2779128775000571,0.2779128775000571,-1,1,True,neither
5,295.0,295.0,PFm,Area_PFm_Complex,Inferior_Parietal,idx_R,295,-0.0294663589447736,0.4882463244787975,0.4932668554439415,0,,0.0455672070384025,0.4818276035009893,0.4846349491009918,0,,-0.0750335659831761,0.0750335659831761,-1,1,True,neither
5,307.0,307.0,DVT,Dorsal_Transitional_Visual_Area,Posterior_Cingulate,idx_R,307,0.1073335483670234,0.4572621852584319,0.479925325635672,0,,-0.1517754048109054,0.4396820407441946,0.4740404128825582,0,,0.2591089531779288,0.2591089531779288,1,-1,True,neither
5,329.0,329.0,s32,Area_s32,AntCing_MedPFC,idx_R,329,-0.0340298451483249,0.4864266757456301,0.4932668554439415,0,,0.0469174571335315,0.481289507317297,0.4846349491009918,0,,-0.0809473022818564,0.0809473022818564,-1,1,True,neither
5,350.0,350.0,8Av,Area_8Av,Dorsolateral_Prefrontal,idx_R,350,-0.0374110788106918,0.4850786196210001,0.4932668554439415,0,,0.0815075039863586,0.4675191787093763,0.4820049349215231,0,,-0.11891858279705039,0.11891858279705039,-1,1,True,neither
6,1.0,1.0,V1,Primary_Visual_Cortex,Primary_Visual,idx_L,1,-0.1451621204614639,0.442291436293569,0.4562318540564035,0,,0.0423790737986564,0.4830982550247624,0.4857971279578617,0,,-0.1875411942601203,0.1875411942601203,-1,1,True,neither
6,68.0,68.0,AAIC,Anterior_Agranular_Insula_Complex,Insula_FrontalOperc,idx_L,68,-0.1529117822647094,0.4392339221400563,0.4543799194552307,0,,0.0860684514045715,0.4657060013333829,0.4762902286364143,0,,-0.2389802336692809,0.2389802336692809,-1,1,True,neither
