Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
dimwitted,dimwitte,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,dimwitted,False,dimwitted
ding,de,VERB,ding,ding,Unclassified,1,Step 1: SUBTLEX-UK,ding,False,ding
dingles,dingle,VERB,dingles,dingles,,1,Step 1: SUBTLEX-UK,dingles,False,dingles
dingoes,dingoe,VERB,dingoes,dingo,Noun,1,Step 1: SUBTLEX-UK,dingo,False,dingo
dining,dine,VERB,dining,dining,Noun,1,Step 1: SUBTLEX-UK,dining,False,dining
dinkier,dinky,ADJ,dinkier,dinkier,,1,Step 1: SUBTLEX-UK,dinkier,False,dinkier
dipsticks,dipstick,NOUN,dipsticks,dipsticks,Noun,1,Step 1: SUBTLEX-UK,dipsticks,False,dipsticks
direst,dire,ADJ,direst,direst,Adjective,1,Step 1: SUBTLEX-UK,direst,False,direst
dirtier,dirty,ADJ,dirtier,dirtier,Adjective,1,Step 1: SUBTLEX-UK,dirtier,False,dirtier
dirties,dirtie,NOUN,dirties,dirty,Verb,1,Step 1: SUBTLEX-UK,dirty,False,dirty
dirtiest,dirty,ADJ,dirtiest,dirtiest,Adjective,1,Step 1: SUBTLEX-UK,dirtiest,False,dirtiest
dirtying,dirtying,NOUN,dirtying,dirty,Verb,1,Step 1: SUBTLEX-UK,dirty,False,dirty
disadvantaged,disadvantage,VERB,disadvantaged,disadvantaged,Adjective,1,Step 1: SUBTLEX-UK,disadvantaged,False,disadvantaged
disaffected,disaffect,VERB,disaffected,disaffected,Adjective,1,Step 1: SUBTLEX-UK,disaffected,False,disaffected
disallowed,disallowed,ADJ,disallowed,disallow,Verb,1,Step 1: SUBTLEX-UK,disallow,False,disallow
discerning,discern,VERB,discerning,discerning,Adjective,1,Step 1: SUBTLEX-UK,discerning,False,discerning
discomfited,discomfit,VERB,discomfited,discomfited,Verb,1,Step 1: SUBTLEX-UK,discomfited,False,discomfited
discomforting,discomforte,VERB,discomforting,discomfort,Adjective,1,Step 1: SUBTLEX-UK,discomfort,False,discomfort
discontented,discontent,VERB,discontented,discontented,Adjective,1,Step 1: SUBTLEX-UK,discontented,False,discontented
discos,discos,PROPN,discos,disco,Noun,1,Step 1: SUBTLEX-UK,disco,False,disco
discrediting,discredit,VERB,discrediting,discrediting,Verb,1,Step 1: SUBTLEX-UK,discrediting,False,discrediting
discuses,discuse,VERB,discuses,discus,,1,Step 1: SUBTLEX-UK,discus,False,discus
diseased,disease,VERB,diseased,diseased,Adjective,1,Step 1: SUBTLEX-UK,diseased,False,diseased
disembodied,disembody,VERB,disembodied,disembodied,Adjective,1,Step 1: SUBTLEX-UK,disembodied,False,disembodied
disembowelling,disembowelling,ADJ,disembowelling,disembowel,Verb,1,Step 1: SUBTLEX-UK,disembowel,False,disembowel
disenchanting,disenchant,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,disenchanting,False,disenchanting
disgruntled,disgruntle,VERB,disgruntled,disgruntled,Adjective,1,Step 1: SUBTLEX-UK,disgruntled,False,disgruntled
disgusting,disgusting,VERB,disgusting,disgust,Adjective,1,Step 1: SUBTLEX-UK,disgust,False,disgust
disheartens,disheartens,PROPN,disheartens,dishearten,Verb,1,Step 1: SUBTLEX-UK,dishearten,False,dishearten
dished,dished,ADJ,dished,dish,Verb,1,Step 1: SUBTLEX-UK,dish,False,dish
dishevelled,dishevel,VERB,dishevelled,dishevelled,Adjective,1,Step 1: SUBTLEX-UK,dishevelled,False,dishevelled
dishwashing,dishwashe,VERB,dishwashing,dishwashing,Adjective,1,Step 1: SUBTLEX-UK,dishwashing,False,dishwashing
disillusioning,disillusion,VERB,disillusioning,disillusioning,Verb,1,Step 1: SUBTLEX-UK,disillusioning,False,disillusioning
disimpassioned,disimpassione,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,disimpassioned,False,disimpassioned
disinterest,disinter,ADJ,disinterest,disinterest,Noun,1,Step 1: SUBTLEX-UK,disinterest,False,disinterest
disinterested,disintereste,VERB,disinterested,disinterested,Adjective,1,Step 1: SUBTLEX-UK,disinterested,False,disinterested
disjointed,disjoint,VERB,disjointed,disjointed,Adjective,1,Step 1: SUBTLEX-UK,disjointed,False,disjointed
dismasted,dismaste,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,dismasted,False,dismasted
dismayed,dismay,VERB,dismayed,dismayed,Adjective,1,Step 1: SUBTLEX-UK,dismayed,False,dismayed
dismaying,dismay,VERB,dismaying,dismaying,Adjective,1,Step 1: SUBTLEX-UK,dismaying,False,dismaying
dismays,dismays,ADP,dismays,dismay,,1,Step 1: SUBTLEX-UK,dismay,False,dismay
dismembered,dismember,VERB,dismembered,dismembered,Verb,1,Step 1: SUBTLEX-UK,dismembered,False,dismembered
dismisses,dismisse,NOUN,dismisses,dismiss,Verb,1,Step 1: SUBTLEX-UK,dismiss,False,dismiss
