idx,Word,Lemma,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
42812,gross,gross,-0.09640999544812943,-0.1137805316302125,-0.05499849775090469,0.04909239871585332,-0.11079985287821992,-0.025008583250216515,0.06411080626306782,-0.0006002071750506295
42815,grossed,gross,-0.09640999544812943,-0.1137805316302125,-0.05499849775090469,0.04909239871585332,-0.11079985287821992,-0.025008583250216515,0.06411080626306782,-0.0006002071750506295
42817,grosses,gross,-0.09640999544812943,-0.1137805316302125,-0.05499849775090469,0.04909239871585332,-0.11079985287821992,-0.025008583250216515,0.06411080626306782,-0.0006002071750506295
42819,grossing,gross,-0.09640999544812943,-0.1137805316302125,-0.05499849775090469,0.04909239871585332,-0.11079985287821992,-0.025008583250216515,0.06411080626306782,-0.0006002071750506295
42827,grotesque,grotesque,0.09721061683896126,0.10597886789789118,0.18844902908698957,0.3204431763437415,-0.040041423235985356,-0.12021879128067013,0.015289304165607072,-0.12436707197216715
42831,grotesques,grotesque,0.24152439122568942,0.06422632856862862,0.23111598009669002,0.19336366975320113,0.16483734169405453,-0.015356280629585113,-0.04648370698279958,-0.059791988794698
42850,ground,ground,0.047451996847385554,-0.008572846661732712,-0.1547552294829,-0.08506293150399848,-0.04613921839119977,-0.15850740537568767,-0.19377328400309302,0.1122076094351838
42854,grounded,ground,-0.1649572709321394,0.11004011557629285,-0.05175809873436522,0.01535810565300343,0.07977355492062785,-0.036909715114293494,-0.08392231954184615,-0.01635269517520337
42878,group,group,-0.13556952712813627,-0.15703767934782684,0.07613489517491882,-0.12421126787369709,0.03196054508712617,0.04747233136925211,-0.037629417583513576,0.03290672930367517
42880,grouped,group,-0.113334101116119,-0.008439107462339078,-0.15295995269422605,0.008519931745169582,0.2129299448651959,0.09180615067824634,0.059936650852555645,-0.1420451430204428
42886,groups,group,-0.105997493422379,-0.27425782623850203,0.05530818835022654,-0.06077636025401765,0.04008236586939359,-0.05132393050182092,-0.022800607839197518,-0.05154252841142853
42909,grow,grow,-0.11127938482427684,-0.06688147646515914,-0.11982823836101535,0.05506317926397517,0.10116535792216558,-0.08274516135466847,0.2810373703302719,0.043354763579064204
42912,growing,grow,-0.1664166402600312,-0.04428996102778193,-0.10052615354445991,0.06376056648883839,0.15763998049041333,-0.10998853856481444,0.19242432878474147,0.017961602352284008
42914,growl,growl,0.22677522468938632,0.25564181899400235,0.06964709246751771,0.14405837913447683,-0.09519291091127846,-0.0016824981621737479,-0.1798254148438578,-0.0001704031274360804
42915,growled,growl,0.13306522263911802,0.3967150371974499,0.1406362116246427,-0.02228697190972929,-0.15225218243311464,0.09183219644259456,-0.14983369633149637,-0.1118233635917053
42918,growling,growl,0.1554004675069169,0.331378159923765,0.06631303004821208,0.1152845223121172,-0.09519903841879321,-0.04605020294557823,-0.15081786227082553,-0.07048776680566612
42920,growls,growl,0.22677522468938632,0.25564181899400235,0.06964709246751771,0.14405837913447683,-0.09519291091127846,-0.0016824981621737479,-0.1798254148438578,-0.0001704031274360804
42922,grown,grow,-0.10729692626153162,0.036273008493116175,-0.07675548774230002,-0.010738172288551012,0.19397136823310251,-0.010724253474865967,0.29388155045988734,-0.044434766032055574
42925,grows,grow,-0.09357014585745782,0.014751074744790081,-0.14159995928286176,0.152662214300425,0.15026032672846357,-0.05593583102683125,0.2541719851061273,-0.07051957012607392
42926,growth,growth,-0.1049157117415166,-0.26609613773781454,-0.12045067035175529,0.03393259886712722,0.10067893237136534,-0.09429002509444642,0.0234875799310764,0.10272864315873073
42927,growths,growth,0.17199979069863416,-0.13380518248461284,-0.11217809717839132,0.0336967334483179,0.059441892231387794,-0.11547884333971797,0.06466583186015552,-0.02604577441726086
42940,grubs,grub,0.2859660412534911,-0.07169542852020638,-0.07017494156469933,-0.03854290086034851,-0.06580143487605415,-0.2004994435583498,0.19455865960677096,0.06369371165546914
42963,grumbled,grumble,-0.11660975700947301,0.2886890418392658,0.11541365083316013,-0.11166429863196665,-0.14130827986668268,0.06864820077365216,0.06640495588375063,-0.04160537405499303
42985,grunt,grunt,0.11414031266682412,0.129834570965505,0.02487228327288857,0.16469451151856918,-0.12403893635099605,0.05236528800179424,-0.10979247819535937,0.15865584221952686
42986,grunted,grunt,0.16184051831736174,0.3305919947211593,0.07412891830474636,-0.002490346101806716,-0.1046626244382321,0.10129270459914505,-0.20404806438693804,-0.08631207322940139
43011,guarantee,guarantee,-0.24069337889535616,-0.13471074336033725,-0.065759423211824,-0.006063998460500543,-0.11328254301900234,0.016861796099718378,0.09867856957168267,0.09421581929420764
43012,guaranteed,guarantee,-0.23548821590065058,-0.038939056110843924,-0.1232617164457795,0.006452075941224914,-0.02514964668081401,0.044796020928215635,0.151291825872211,0.11136156219180418
