idx,Word,Lemma,embedding_source,embedding_lookup,vector_norm_raw
2847,ambulances,ambulance,Word,ambulances,3.8021695444695984
2856,ambush,ambush,Word,ambush,3.5203823197967914
2857,ambushed,ambush,Word,ambushed,3.4065059581497126
2859,ambushes,ambush,Word,ambushes,3.9184043791838667
2860,ambushing,ambush,Lemma,ambush,3.5203823197967914
2883,amended,amend,Word,amended,2.7706309611593163
2888,amendments,amendment,Word,amendments,3.2738442814048074
2970,ammunition,ammunition,Word,ammunition,3.2721238962764496
3058,ample,ample,Word,ample,2.7436524342624655
3061,amplest,ample,Lemma,ample,2.7436524342624655
3064,amplified,amplify,Word,amplified,2.657340675520254
3093,amuse,amuse,Word,amuse,3.206472325881421
3094,amused,amuse,Word,amused,2.9131702150761636
3096,amusement,amusement,Word,amusement,3.0423175422182114
3097,amusements,amusement,Word,amusements,3.3427641390786293
3099,amuses,amuse,Lemma,amuse,3.206472325881421
3182,analogies,analogy,Word,analogies,3.4371969504098394
3194,analogy,analogy,Word,analogy,3.399375098419971
3202,analysis,analysis,Word,analysis,2.7152028099914034
3203,analyst,analyst,Word,analyst,3.79798602062735
3205,analysts,analyst,Word,analysts,3.2824059488210837
3267,anatomies,anatomy,Lemma,anatomy,3.332107603143625
3272,anatomy,anatomy,Word,anatomy,3.332107603143625
3275,ancestor,ancestor,Word,ancestor,3.4772979261798533
3276,ancestors,ancestor,Word,ancestors,3.5187654854523243
3277,ancestral,ancestral,Word,ancestral,3.239364065405403
3281,ancestries,ancestry,Lemma,ancestry,3.707563055844234
3282,ancestry,ancestry,Word,ancestry,3.707563055844234
3283,anchor,anchor,Word,anchor,3.1120208986790776
3287,anchored,anchor,Word,anchored,2.972479387206015
3292,anchoring,anchor,Word,anchoring,2.9913394278784162
3300,anchors,anchor,Word,anchors,3.077132171635714
3304,ancient,ancient,Word,ancient,3.041796675502737
3307,ancients,ancient,Word,ancients,3.521547051702475
3396,anew,anew,Word,anew,2.605408102637781
3415,angels,angel,Word,angels,3.1376510762863328
3417,anger,anger,Word,anger,3.233820660701185
3418,angered,anger,Word,angered,3.0464875426907394
3419,angering,anger,Lemma,anger,3.233820660701185
3420,angers,anger,Lemma,anger,3.233820660701185
3434,angles,angle,Word,angles,3.3230206201557864
3475,angry,angry,Word,angry,2.666649830768774
3481,anguish,anguish,Word,anguish,3.060115184234253
3483,angular,angular,Word,angular,3.2952421015574562
3510,animal,animal,Word,animal,3.0008591684949018
3521,animals,animal,Word,animals,3.0005630861708563
3556,ankle,ankle,Word,ankle,3.894190712991202
3558,ankles,ankle,Word,ankles,3.32424219226473
3605,anniversaries,anniversary,Word,anniversaries,3.675246588890523
3606,anniversary,anniversary,Word,anniversary,3.487818600895709
3615,announce,announce,Word,announce,3.005484391449655
3616,announced,announce,Word,announced,2.6422074884335878
3617,announcement,announcement,Word,announcement,2.763617356999596
3618,announcements,announcement,Word,announcements,3.0322598566471655
3621,announcers,announcer,Word,announcers,3.6271183226292223
3622,announces,announce,Word,announces,3.2906995857374715
3623,announcing,announce,Word,announcing,2.527291550581093
3624,annoy,annoy,Word,annoy,3.293836667231935
3625,annoyance,annoyance,Word,annoyance,2.855360202656563
3626,annoyances,annoyance,Word,annoyances,3.688347053955898
3629,annoying,annoy,Word,annoying,2.792924037633488
3632,annoys,annoy,Word,annoys,3.3913286743613713
3633,annual,annual,Word,annual,2.5721129759008807
3636,annuals,annual,Lemma,annual,2.5721129759008807
3717,answer,answer,Word,answer,2.562110001005166
3722,answered,answer,Word,answered,3.091111065750001
3724,answering,answer,Word,answering,2.825396084152955
3726,answers,answer,Word,answers,2.8674243636874857
3727,ant,ant,Word,ant,3.064307227975133
3734,antagonism,antagonism,Word,antagonism,3.1647011678826384
3735,antagonisms,antagonism,Word,antagonisms,3.5510869019573112
3773,antelope,antelope,Word,antelope,3.583699452394696
3774,antelopes,antelope,Lemma,antelope,3.583699452394696
3779,antenna,antenna,Word,antenna,3.75933201034911
3780,antennae,antenna,Word,antennae,3.3359465231443544
3783,antennas,antenna,Word,antennas,3.7032662411182184
3792,anterior,anterior,Word,anterior,4.209151691462036
3794,anteriors,anterior,Lemma,anterior,4.209151691462036
3802,anthem,anthem,Word,anthem,3.557291361095276
3805,anthems,anthem,Word,anthems,3.758249281363183
3840,anthropology,anthropology,Word,anthropology,3.334983680348152
3882,anticipate,anticipate,Word,anticipate,2.955647012709957
3883,anticipated,anticipate,Word,anticipated,2.5633190500739254
3884,anticipates,anticipate,Word,anticipates,3.6315101017500417
3885,anticipating,anticipate,Word,anticipating,2.5152718632863222
3886,anticipation,anticipation,Word,anticipation,2.592584338047836
3887,anticipations,anticipation,Word,anticipations,2.999183584466952
3910,antics,antic,Word,antics,2.982131860702078
4041,antique,antique,Word,antique,3.2747425326496873
4044,antiques,antique,Word,antiques,3.4536761025782754
4046,antiquities,antiquity,Word,antiquities,4.427391543753317
4047,antiquity,antiquity,Word,antiquity,3.371761739006045
4108,antlers,antler,Lemma,antler,4.15716469447911
4120,ants,ant,Word,ants,3.6030709899819926
4126,anvil,anvil,Word,anvil,3.4911587632040977
4127,anvils,anvil,Lemma,anvil,3.4911587632040977
4128,anxieties,anxiety,Word,anxieties,3.180313584693362
4129,anxiety,anxiety,Word,anxiety,2.937916198885603
4131,anxious,anxious,Word,anxious,2.5114937400149238
4175,apartment,apartment,Word,apartment,3.24986370294858
4176,apartments,apartment,Word,apartments,3.154205692734403
4183,ape,ape,Word,ape,3.110079469521035
4184,aped,ape,Lemma,ape,3.110079469521035
4197,apes,ape,Lemma,ape,3.110079469521035
4238,aping,ape,Lemma,ape,3.110079469521035
4279,apologies,apology,Word,apologies,3.218823217797779
4288,apology,apology,Word,apology,3.82784799916038
4351,apparatus,apparatus,Word,apparatus,2.8768033393860786
4352,apparatuses,apparatus,Lemma,apparatus,2.8768033393860786
4353,apparel,apparel,Word,apparel,3.471782514039354
4354,appareled,apparel,Lemma,apparel,3.471782514039354
4357,apparels,apparel,Lemma,apparel,3.471782514039354
4359,apparent,apparent,Word,apparent,2.457411172025083
4366,appeal,appeal,Word,appeal,2.829357625169081
4368,appealed,appeal,Word,appealed,3.035047626869551
4370,appealing,appeal,Word,appealing,2.604583368027675
4372,appeals,appeal,Word,appeals,2.863529349136282
4374,appearance,appearance,Word,appearance,2.8848777345147085
4375,appearances,appearance,Word,appearances,3.359586294269166
4376,appeared,appear,Word,appeared,2.442122177785299
4378,appearing,appear,Word,appearing,2.4569138784533697
4379,appears,appear,Word,appears,2.2933339900796836
4417,appetite,appetite,Word,appetite,3.2817043771887167
4418,appetites,appetite,Word,appetites,3.498609608394373
4427,applauded,applaud,Word,applauded,2.949209671158242
4431,applause,applause,Word,applause,3.7430713213214655
4433,apple,apple,Word,apple,3.1426538594911166
4437,apples,apple,Word,apples,3.1887644908766557
4441,appliance,appliance,Word,appliance,3.215464825646372
4442,appliances,appliance,Word,appliances,3.299103349319434
4444,applicable,applicable,Word,applicable,3.0277362406727564
4447,applicant,applicant,Word,applicant,3.074160511838944
4448,applicants,applicant,Word,applicants,3.2682989738394546
4449,application,application,Word,application,2.4552566953249673
4450,applications,application,Word,applications,2.780110075107012
4454,applied,apply,Word,applied,2.484735185807061
4456,applies,apply,Word,applies,2.9720768569779965
4461,apply,apply,Word,apply,2.61695161425238
4462,applying,apply,Word,applying,2.6715637187712122
4464,appoint,appoint,Word,appoint,3.3248055158313505
4465,appointed,appoint,Word,appointed,3.0813495059503326
4469,appointing,appoint,Word,appointing,3.1085104569187347
4471,appointment,appointment,Word,appointment,3.080090201090219
4472,appointments,appointment,Word,appointments,3.1895011374546014
4473,appoints,appoint,Word,appoints,4.417129302861901
4493,appraisal,appraisal,Word,appraisal,2.9444588609150166
4494,appraisals,appraisal,Word,appraisals,3.371878117521482
4528,apprentice,apprentice,Word,apprentice,3.298214748985243
4529,apprenticed,apprentice,Word,apprenticed,4.12900670331573
4530,apprentices,apprentice,Word,apprentices,3.37582446365191
4533,apprenticing,apprentice,Lemma,apprentice,3.298214748985243
4540,approach,approach,Word,approach,2.421706042716664
4544,approached,approach,Word,approached,2.62770267165388
4545,approaches,approach,Word,approaches,2.550790079027979
4546,approaching,approach,Word,approaching,2.5606716004922796
4566,approve,approve,Word,approve,2.9482421913208743
4567,approved,approve,Word,approved,2.8578863465352504
4569,approves,approve,Word,approves,3.8919864345452964
4570,approving,approve,Word,approving,2.7938113202829147
4593,apron,apron,Word,apron,3.4013022015149827
4594,aprons,apron,Word,aprons,3.344016273665919
4599,apt,apt,Word,apt,2.4865830921738574
4604,aptitude,aptitude,Word,aptitude,3.2892334374031718
4605,aptitudes,aptitude,Word,aptitudes,3.558559399118928
4698,arbitrary,arbitrary,Word,arbitrary,3.0598499916650375
4703,arbitration,arbitration,Word,arbitration,3.987426688058149
4705,arbitrations,arbitration,Lemma,arbitration,3.987426688058149
4738,arch,arch,Word,arch,2.8073427449103
4776,arched,arched,Word,arched,3.304437611999176
4787,arches,arch,Word,arches,3.328099932801312
4808,architect,architect,Word,architect,3.1474627208098322
4813,architects,architect,Word,architects,2.957661355381651
4816,architecture,architecture,Word,architecture,2.9315789247643917
4817,architectures,architecture,Word,architectures,3.71526446455822
4841,arcs,arc,Word,arcs,3.270543690022456
4848,ardent,ardent,Word,ardent,3.057219632284856
4857,are,be,Word,are,2.255466016524561
4858,area,area,Word,area,2.0621623279870906
