embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_057,0.07960577917579624,0.05681230422028625,-0.08004263771850507,0.010366957100621714,-0.006665424389604015,0.0635726557703626,-0.025296678579012365,0.10366216376421417
W2V_058,0.05324957350368421,-0.06450310160416246,-0.0024588771724591584,-0.15531906110404775,-0.059469165545820594,0.026253806203636827,-0.05345256742528149,0.008304854715125645
W2V_059,-0.06860500432552509,0.02657389551485385,-0.07349597368112805,0.03902523215969315,-0.0376835688268913,0.0005621426602355948,0.03239716169085441,-0.029423127443055922
W2V_060,0.026440856681591032,0.04782129143122497,-0.06210983002745459,0.028844165517813103,-0.027325667049272546,0.03232018514968216,-0.020977155040010166,-0.0806576964816935
W2V_061,-0.030598357055672303,-0.010015412180960453,0.08998225521947428,0.039300610638902535,0.027505630432420665,0.024088194784651417,0.053916553760146375,-0.04352402145705059
W2V_062,-0.054082250781255906,0.05853635373931036,0.06358293555461843,-0.0034683967562633778,-0.0343662042288691,-0.035661538176683646,0.06061664266309526,-0.03511065519088055
W2V_063,0.010807393737500212,0.037730682935649296,0.0641366406223733,0.03070522034039813,-0.007369560303236429,-0.04164006022818403,-0.06270081146040377,-0.08831584778688994
W2V_064,0.027089608323485524,-0.06795088483714055,0.06253383745986894,-0.026774019244085682,-0.14374287186901794,-0.012812594188536424,0.06801761115025093,-0.030062821136059407
W2V_065,0.008535909062659932,0.03012083724415251,-0.012630067635141323,0.018702158361924733,-0.006028105004532899,0.014066630568153174,0.020326987430281263,0.01941140865003547
W2V_066,-0.02165593218847282,-0.009904140918692416,-0.001042956891385598,0.018691860583242695,0.0026453360599791582,0.08280248024383441,-0.07878077951247509,0.008714873292141408
W2V_067,-0.024739176310716756,0.015002405536789297,0.009272903745960686,-0.02522922144289318,-0.01737602823130093,-0.1302493893239193,-0.0768727557904892,0.01082593178876226
W2V_068,-0.10080867575079107,-0.09440682443262476,0.03906199023850704,0.08853694577522976,0.006951195972365982,-0.05323187948062641,-0.08573834340951468,-0.0406144620853009
W2V_069,0.040368562303281084,-0.07896763588423637,-0.007709679438765409,-0.0429397072434704,0.012917748437040057,0.12716251825347427,0.040175173936193735,0.0750775582871756
W2V_070,0.058584679466880535,0.033178097347526726,-0.022704173729073424,0.006062926476761035,-0.03519506333105343,0.08596305500682523,-0.05579893359652945,0.13703999688901666
W2V_071,0.11046029418426714,0.052454498872571115,0.006340292575773575,-0.00094027012012984,-0.040030657460888006,0.10391361551661397,0.1391097439594186,0.019154173639680448
W2V_072,0.01529804586340154,0.052525311795357764,0.05108221428225657,-0.024418132775219478,-0.039441805287444565,0.047126923881641455,0.043709965896139936,-0.05587108821581015
W2V_073,-0.07570964278996248,-0.027017016264135833,-0.11416898804456665,0.012464481473858924,0.005373912090316984,0.02495041698963445,0.0037563198336539143,-0.03355136121805345
W2V_074,-0.09455720538994436,0.039643360856233816,0.09359088844632439,-0.014768537010941678,-0.026193451803317933,-0.0005136793766288594,0.0897875469254984,0.03145162987227623
W2V_075,-0.07350144525570328,-0.07964050761353589,0.05818610985826686,0.033008600975261905,0.05016144211086001,0.010063223028416954,0.04951711224435489,0.07927814132105318
W2V_076,0.06542263039031883,0.013061249680210885,0.04923123754765111,-0.07556604686866358,-0.008163932788170254,0.03892739287005887,0.02124966286675068,0.02175589554407323
W2V_077,-0.05224291804288311,-0.001081967992990715,-0.07598000598581374,0.03012371387358766,-0.046886563285503106,0.015501534514355817,-0.08875364716088453,-0.07119674340006242
W2V_078,-0.13755400069460758,0.023538772814977252,0.009443818434767324,0.14756440422313602,-0.10023791397106635,0.07785198149279303,0.039082854289745644,0.013607165081662974
W2V_079,0.001950963550534561,0.007528286669036237,0.09438596749631614,0.034056881923239656,-0.10535280647021326,0.05136146482432473,-0.04625808757405142,-0.014222901140229994
W2V_080,-0.13712053994642237,0.053283713043545566,0.04040520736115614,0.1415321622552342,0.023016108425675627,-0.009078669250850045,0.056014431342295834,-0.07915572482694459
W2V_081,0.006692548304739239,0.004481434301852891,-0.05455982299024198,-0.028436916804741585,0.022874095081297757,0.028789204921999857,-0.11145327769798347,-0.04196362417273462
