factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F2_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,213,-0.017305344675442428,-0.011228599396524503,-0.1524523825349933,0.07075078738946924
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,213,-0.027839771510692835,-0.02935695216771179,-0.1020109685879631,0.009652817598896158
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,3.0,213,-0.017123078834387243,-0.025236809092587312,-0.10486743919138729,0.03379013149132523
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,4.5,213,0.01727154656737356,-0.010096532559339875,-0.06201651772811248,0.10589359252384666
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,6.0,213,-0.015020583832727493,-0.02024162706680861,-0.11452386236320548,0.05048810293522742
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,213,-0.008957411133683353,-0.004014253845142048,-0.07295171421045879,0.03135347643328942
F2_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,213,-0.01860232266996444,-0.0713265416517552,-0.09124321833121848,0.029993283216993637
F2_n8,spectral_flux,collapsed_factor_vs_raw_feature,,213,-0.012706590801665352,-0.019749649502838106,-0.05796511895898592,0.06370016842434653
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,213,0.00024189665213947666,-0.010776798831710132,-0.04617886353009535,0.15318239139709078
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,213,0.0009838047657487851,0.0022841745596117857,-0.04127525425513389,0.05102247831106736
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,213,-0.016894627824885336,-0.031208257645560636,-0.06726140804662713,0.02300075591149749
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,213,-0.0107903626505674,-0.030944910053527938,-0.08028734512445583,0.038397534233565914
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,213,-0.010941796088168889,-0.02465625493789676,-0.04018881596797828,0.02869759359796609
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,213,0.03084589013447676,0.05232949047019037,-0.045487790722152144,0.202232340978027
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,213,0.003963227891079288,0.03284143846433302,-0.11687454973469913,0.09424903567091597
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.0028738409570617605,0.010143731391995252,-0.10496794827291088,0.05515035391153181
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,213,0.00798401519059169,0.02315217229996366,-0.04153706482879413,0.057913270441741625
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,213,0.007012711395070592,0.014818052971034064,-0.06252688497908183,0.06875959321412929
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.004078590126021067,0.027591097156086545,-0.11672299588113709,0.07199574458794167
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,213,-0.0024805154215126295,0.008152277892852472,-0.10708059573474617,0.04672564034852898
F2_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,213,-0.052678721524714055,-0.10053052267427612,-0.15288179446455397,0.01478364192944855
F2_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,213,0.009879942950963467,-0.0037020299430678394,-0.05464594278772009,0.06446409023382574
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,213,0.02335650029883785,0.010439762030649082,-0.041472990334864866,0.07241574196286955
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,213,0.003978426404227708,-0.011586258401111814,-0.04887288329979311,0.06008809667281661
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,213,-0.0016544363520228217,-0.014051580190303465,-0.0595330388733425,0.031981509244643394
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,213,0.009340063946112224,-0.006294895880801271,-0.0812019463504455,0.08384720105903395
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,213,-0.004363557995318131,-0.022145948942843705,-0.09022425800037671,0.06924495752166854
F2_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,213,0.025397884398305693,0.03988324827091873,-0.05010607308992171,0.19221421026488272
F2_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,213,0.004580577758281006,0.029964297475988326,-0.09011366893254223,0.10175017101636692
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,213,-0.002886463666422743,0.0018480067086388912,-0.09992296639411649,0.04179541006308672
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,213,0.009066397346541605,0.02096474880060743,-0.025204852890424248,0.0598842262664754
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,213,0.012089994572726274,0.015513437330794144,-0.06104702807267268,0.07178914795883841
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,213,0.0009322093749397394,0.023864680083312665,-0.10359304447334014,0.07810060078920925
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,213,-0.005932340341517003,0.005767672843696128,-0.11676641231969952,0.04200237464036735
F3_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,213,0.036500559043666815,0.03524733842353141,-0.048539811174093284,0.170129360057608
F3_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,213,-0.0034416339312477273,-0.009728170288799244,-0.1397528575757468,0.12621892979983845
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,213,0.005820825543409056,0.01582047958020752,-0.04833529739356418,0.13580419021597898
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,213,0.012783114168195215,0.012997820986662596,-0.04242584310262223,0.08586850418595368
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,213,-0.00392951156040461,-0.012245826217753573,-0.08966197653820755,0.06611583446479966
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,213,-0.008251757618207635,-0.027573920458364518,-0.1123859603884968,0.09788683428461842
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,213,-0.02188726404107042,-0.023149147367115402,-0.1668263460691462,0.05332038202350913
F3_n8,rms,collapsed_factor_vs_matching_FIR_feature,,213,0.01837617222817495,0.02122174988179626,-0.06511390120523049,0.1286058417474397
F3_n8,rms,collapsed_factor_vs_raw_feature,,213,-0.010176567838213746,-0.01453577718303616,-0.14587027858530122,0.11760967619597948
F3_n8,rms,individual_TENT_column_vs_raw_feature,1.5,213,-0.0024832314584489075,0.008650795863485203,-0.06133744685641984,0.11814132997758103
F3_n8,rms,individual_TENT_column_vs_raw_feature,3.0,213,0.010898496385558499,0.01213161861582369,-0.04467969066401146,0.07583577227129423
F3_n8,rms,individual_TENT_column_vs_raw_feature,4.5,213,-0.005810891870528927,-0.014433963186817202,-0.08981672769393889,0.059346154710255804
F3_n8,rms,individual_TENT_column_vs_raw_feature,6.0,213,-0.013054236694579894,-0.029893193676937324,-0.11280630055075018,0.10542837188128468
F3_n8,rms,individual_TENT_column_vs_raw_feature,7.5,213,-0.02535527558423958,-0.026932738992767533,-0.1721031214483705,0.05397699472519515
F3_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,213,0.022885114966433553,0.03623042271865741,-0.03668268104400004,0.12113155274316041
F3_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,213,-0.0011380276929468616,-0.008450122890775572,-0.1272188782139473,0.11187753826236443
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,213,-0.002306759664308775,0.005104262099937233,-0.058533098488140735,0.06935920457790787
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,213,0.013526690625605638,0.008098589771367916,-0.030617483489093572,0.06319617005380936
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,213,-0.0029550183980028106,-0.011047946389322832,-0.08831894751447987,0.04856053369884725
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,213,-0.008494922064077207,-0.02409223283091442,-0.1196855454747029,0.0907502110645794
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,213,-0.007619790811026691,-0.02371985852095756,-0.11122607264418115,0.07531615107733744
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,213,0.007399229167353927,-0.0129210735741858,-0.07837852037896556,0.0994564817491303
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,213,0.015498864603527271,0.006046903913657884,-0.14209514966958273,0.14187186166180504
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,213,0.01863827657210281,0.011189194995794008,-0.02968792018998498,0.08415714320583265
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,213,0.0016922381212668683,0.002794491774012715,-0.05786551469757402,0.026169545134603886
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,213,0.011147284845571398,0.005855418514495667,-0.092738279319188,0.10952775311341734
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.013483404204925368,0.002908408200806622,-0.1245045457159516,0.1369762621189053
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,213,0.0012061912469653203,0.007485624173847526,-0.0869205110422593,0.1207466137685575
F3_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,213,-0.015329619933885824,-0.06342010586868004,-0.13672942952760367,0.09941768669120818
F3_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,213,-0.02219646292638116,-0.04319563399784336,-0.15551548555329286,0.14654355638018474
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,213,0.004337432670738434,0.005695578297839275,-0.03966561630330128,0.04707851001014438
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,213,-0.03192705266525116,-0.04114509108197565,-0.0931140684323899,0.03688931038541822
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,213,-0.014471941574226798,-0.03544356009839106,-0.1075584682527265,0.110765558215443
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,213,-0.010397499237710151,-0.023152655592552834,-0.14231036989145593,0.14445746847165783
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,213,-0.0029297554607032026,-0.003353414769323099,-0.08866084202390888,0.12607552510976103
F3_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,213,0.0015727758685804992,-0.018039663443779597,-0.06430748719735806,0.07702215103255763
F3_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,213,0.01071600709548462,0.005058596071564762,-0.1497647839034323,0.14654680160052788
F3_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,213,0.014969956362648843,0.016002210681535338,-0.029678964920836805,0.07458055760051269
F3_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,3.0,213,-0.0021654638693079263,0.006735629970211351,-0.06955085574141442,0.024035483885086875
