factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,0.03129041163859681,0.021403706426969305,-0.010041665286357719,0.10376612290056067
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,0.012801494426913829,0.0007589810428822385,-0.05919077928622169,0.07293235394615769
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,0.005218985133688788,0.0035659121716942904,-0.04621893491145115,0.05881633046289029
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,0.01472085795387943,0.0024637766422307594,-0.06159544092900536,0.0738347689723178
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,0.0014827176116194482,-0.009571203372009156,-0.05297516640887285,0.10195407577905463
F2_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.030762368190789115,0.03869752699249669,-0.09956999239765828,0.13960292505908253
F2_n8,rms,collapsed_factor_vs_raw_feature,,10,0.02087064292643912,0.01104962830484044,-0.07065042680962857,0.12622506590916205
F2_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,0.03189014026470104,0.020060843341512733,-0.014143917399154495,0.09295931956747769
F2_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,0.012365370174803181,0.0006417157757782082,-0.06020945106544834,0.06710882156766773
F2_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,0.007070186373803702,0.004689498606168729,-0.044863427856257174,0.06313142799189549
F2_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,0.0101781103038177,0.00012470298826394464,-0.06279033721346362,0.06192158262044961
F2_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,-0.0017920165548220661,-0.011022207778419139,-0.0555806870016495,0.09123952330568738
F2_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.04817235753622026,0.06912448649672602,-0.03659218522570866,0.154140194597344
F2_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,0.020175901162020088,0.013690617172182354,-0.048651040129029585,0.15515903883382393
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,0.02966066905523288,0.023238761873364155,-0.009522214514255223,0.07591712047823544
