factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.00948763941263047,-0.004541705652401525,-0.09816301794261749,0.05511776049631718
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.0064099274902413425,0.011008703708482358,-0.08672180955336216,0.051300840505302626
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.01948603823058386,0.00151403583702251,-0.06826615651480734,0.0982401486875319
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.009472518169017214,0.002387382134960135,-0.08936283979513976,0.08268646981360776
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.012990583225444463,0.01455838459383765,-0.05394657593945839,0.05985536419155485
F2_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.038089738504932795,0.05166217165811666,-0.05620563684981326,0.19163672312052513
F2_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,10,0.0067958253537673055,0.02770304439805998,-0.10115873629072986,0.09448648815147469
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.002649383663783512,0.003144533315354218,-0.10324987865330215,0.054105609480033
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.008420513968856447,0.0190932271479415,-0.02842247226158804,0.05458172892265632
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.011388065861626802,0.014702978812802307,-0.0605433185526819,0.06594228245272998
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.003361333470041719,0.02702599843282984,-0.10888104120163193,0.07344125377429071
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,10,-0.000718713290533119,0.006598655909244303,-0.12044506176492543,0.04626412021098934
F2_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.020711125685291126,-0.012991490670204064,-0.11559278224529863,0.05953117842850426
F2_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,10,-0.006962278890989806,0.012315112832200995,-0.1524523825349933,0.07075078738946924
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,10,-0.02227484878414464,-0.015170775577298425,-0.10178763975473339,0.009652817598896158
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,3.0,10,-0.00790045982634725,0.001602288811062721,-0.10486743919138729,0.03379013149132523
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,4.5,10,0.02434599254255288,0.009742671589987357,-0.06201651772811247,0.10589359252384666
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,6.0,10,-0.010385382181944285,-0.007647733528924139,-0.11452386236320548,0.05048810293522742
F2_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,7.5,10,-0.007686139285339271,0.0018799702188788685,-0.07295171421045879,0.03135347643328942
F2_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,-0.027113339199633723,-0.07041508690177094,-0.0895442589045317,0.029993283216993637
F2_n8,spectral_flux,collapsed_factor_vs_raw_feature,,10,-0.01454771533782676,-0.019671445433774255,-0.05691939385478523,0.06079323744933101
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,1.5,10,-0.0016813890715429258,-0.011776809253606284,-0.04617886353009535,0.14962532110529672
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,3.0,10,-0.004336161662601644,-0.0041828361831081256,-0.04052674451470423,0.04973104358763102
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,4.5,10,-0.020160603783506235,-0.027104696805715763,-0.06604163460465919,0.02300075591149749
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,6.0,10,-0.007736866164816729,-0.025325840131632787,-0.08028734512445583,0.038397534233565914
F2_n8,spectral_flux,individual_TENT_column_vs_raw_feature,7.5,10,-0.007966864658150993,-0.024772634009346654,-0.04018881596797828,0.02869759359796609
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.037428470343383424,0.050195749082477994,-0.04548779072215214,0.19942608743173185
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_raw_feature,,10,0.010001455815791028,0.0315827246206307,-0.11687454973469912,0.09424903567091596
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.0028884394964285454,0.005688434703521445,-0.10461390389183313,0.05472914866442954
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,3.0,10,0.007897770471936964,0.01874692856220108,-0.04153706482879413,0.057913270441741625
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.012566836382432571,0.015510745472295072,-0.06252688497908183,0.06875959321412929
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.008716155848247597,0.029819048361385294,-0.11672299588113709,0.07199574458794167
F2_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.0031925678905308295,0.008631304348126506,-0.10708059573474617,0.04672564034852898
F2_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,-0.07028992774712395,-0.11783584056932442,-0.15288179446455397,0.01478364192944855
F2_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,10,-0.0021138867860524746,-0.01544798835245299,-0.05464594278772009,0.06446409023382574
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,10,0.014073515277754585,0.0023686186535554223,-0.041472990334864866,0.07241574196286955
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,10,-0.00827814935238238,-0.02021146503909368,-0.04887288329979311,0.0600880966728166
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,10,-0.00769377251840873,-0.020457808330438077,-0.0595330388733425,0.031981509244643394
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,10,0.0029892582854858856,-0.012002988626421345,-0.08096361384942681,0.08384720105903395
F2_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,10,-0.004153615697545612,-0.028940301755303505,-0.08949177326751874,0.06924495752166854
F2_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,0.03329114366703332,0.041716578208499125,-0.05010607308992171,0.18879320903260344
F2_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,10,0.009199138338336608,0.027397460093207957,-0.09011366893254223,0.10175017101636692
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,10,-0.0033700647212805556,-0.0012405662410228282,-0.09947676694831209,0.041422202631081324
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,10,0.009374060957853139,0.019396952416917655,-0.025204852890424245,0.0598842262664754
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,10,0.016720614663489338,0.016784863581331782,-0.061047028072672684,0.07178914795883841
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,10,0.004100927158698286,0.02241463765550112,-0.10359304447334014,0.07810060078920925
F2_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,10,-0.0018432015011534126,0.005420362967397991,-0.11676641231969952,0.04200237464036735
F3_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.023996014423745573,0.019843045287116598,-0.048539811174093284,0.170129360057608
F3_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,-0.007089088411893891,-0.009963167932342115,-0.13871642657703967,0.12621892979983845
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,0.016466219446775683,0.024113950370678518,-0.04833529739356418,0.13580419021597898
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,0.005612838345350299,0.009660749656585465,-0.04242584310262223,0.08586850418595368
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,-0.004740509781034928,-0.011146017839071671,-0.08907052393253423,0.06611583446479966
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,-0.009671039379253234,-0.02290712740123098,-0.1118238450225218,0.09788683428461842
F3_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,-0.0329612066906092,-0.02886135055601548,-0.1668263460691462,0.05332038202350913
F3_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.008732021435236813,0.006849152310376115,-0.06511390120523049,0.1286058417474397
F3_n8,rms,collapsed_factor_vs_raw_feature,,10,-0.01300714127591743,-0.0152364005357071,-0.1448417747597346,0.11760967619597948
F3_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,0.009919857652018157,0.018119170581962937,-0.06133744685641984,0.11814132997758102
F3_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,0.005457126207348771,0.009855376152652771,-0.044394700205623444,0.07583577227129425
F3_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,-0.006089414691375203,-0.013091564271071604,-0.08924382872106383,0.059346154710255804
F3_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,-0.014901441749181907,-0.0267489531905685,-0.11225752662549743,0.10542837188128468
